order_id,customer_id,product_id,order_amount,order_date,payment_method,status,quantity,order_amount_raw,order_date_raw,quantity_raw,amount_flag,date_flag,quantity_flag,payment_flag,status_flag
fb02321a-6ab0-4d93-99a2-c51b789cc8a8,c5e93886-dab9-429c-b17e-72916396957b,PROD-0132,,2024-09-07,wallet,success,4.0,0,2024-09-07,4,상수값(0),,,,
29688c8d-bf30-457c-b2e7-1fa89febe19a,6e06c1fb-c88c-412b-991f-06ccab26d4aa,PROD-0411,2699.25,,cash,success,2.0,2699.25,2024/31/01,2,,상수값(2024/31/01),,,
75be2518-e2ea-4a1a-a168-f9aee023af8a,e2ee49bb-c4fe-484d-ac5c-c1ec7b36c0d7,PROD-0213,41343.46,,wallet,failed,3.0,41343.46,2025/01/10 12:00,3,,상수값(2025/01/10 12:00),,,
eaae6916-4485-45e1-83f5-fb930ef2d06a,dad358b6-de51-4b04-a347-f9e08d715d61,PROD-0297,17094.25,,upi,success,5.0,17094.25,31-12-2023,5,,상수값(31-12-2023),,,
1f9e002a-2348-47c4-b371-0ce03f89cb88,f4009558-7b39-4678-8a92-9994549ba2a5,PROD-0452,42207.75,,card,success,1.0,42207.75,,1,,원본결측,,,
6ddfc08c-0056-499a-a6a5-3c153746433d,9aaa5012-a288-4919-8233-1b4cf522047c,PROD-0153,49531.77,,card,success,3.0,49531.77,2025/01/10 12:00,3,,상수값(2025/01/10 12:00),,,
4338a05d-d51a-4f25-b653-743d03bebbbb,5551be40-3241-4ca2-aba9-f7d543be3be9,PROD-0031,38487.75,,card,success,,38487.75,,-3,,원본결측,음수,,
be34783c-2876-4335-8f28-19e8ad4c13c0,50b17192-30ea-4a14-961e-57a6b1410de6,PROD-0478,,2024-08-09,cash,refunded,5.0,0,2024-08-09,5,상수값(0),,,,
00162b77-be97-4649-b00a-21dd07387204,a605a374-72e4-4f91-a39b-e02a83f89aba,PROD-0257,652813.01,,upi,failed,1.0,652813.01,31-12-2023,1,,상수값(31-12-2023),,,
607ac003-b1f8-4182-9d7f-6930c1974651,7a89c27d-84c8-48b8-9679-964dd65ab07e,PROD-0047,785960.34,,cash,success,2.0,785960.34,31-12-2023,2,,상수값(31-12-2023),,,
c01e164c-39f0-4f61-a357-e14abb8ffba1,0e14aa30-ffbb-407f-a726-a304930c3785,PROD-0466,266746.23,2025-04-16,cash,failed,3.0,266746.23,2025-04-16,3,,,,,
6b048bfd-c202-44fb-b11e-c75753ef3085,f185abcc-02fb-4283-80f3-7c53c65e6da8,PROD-0098,4985.06,2024-11-20,card,refunded,1.0,4985.06,2024-11-20,1,,,,,
d519ff22-67c1-4b66-94de-aca50f9c0c14,a3e1cdf8-ee00-4cb7-89eb-0afe261e189c,PROD-0102,37061.95,2024-02-17,cash,success,1.0,37061.95,2024-02-17,1,,,,,
314e52b1-5bfe-45c1-b1cf-b85ad66bbaee,c9f930d7-13e3-4a06-98bc-6610d1e37870,PROD-0441,19847.41,2024-03-01,cash,success,1.0,19847.41,2024-03-01,1,,,,,
6a0d9c13-16dd-4cc8-944f-d9abbebbccf9,e0f75ed8-5442-4a8b-b339-91df2284e27a,PROD-0355,5434.46,2025-11-10,card,failed,1.0,5434.46,2025-11-10,1,,,,,
96a6e979-5b1c-46ad-b980-a769715355fe,adae5c17-b1f1-4150-adee-ff3336850700,PROD-0276,11715.96,2023-12-05,upi,success,4.0,11715.96,2023-12-05,4,,,,,
02df728d-9438-40ed-9cf7-d27e5b3a0af5,da411de6-9b75-4963-bc46-bd33b7a98d1d,PROD-0478,535540.77,2025-04-21,wallet,success,,535540.77,2025-04-21, ,,,공백(실질결측),,
291c3cdc-1c19-4e1a-b220-25f4e625d595,20cc2caa-51ab-406b-af31-16ebc97ccafc,PROD-0127,20327.63,2025-03-15,card,failed,,20327.63,2025-03-15,0,,,0개,,
9c9066be-0163-4551-9d21-81a37e67a949,a1dc60ca-0b26-4d58-aafd-9596753b9e77,PROD-0039,35604.97,2024-05-08,wallet,success,3.0,35604.97,2024-05-08,3,,,,,
770a6670-c78a-4ba3-bcba-e17ce4c3f18a,4b15e8a8-e84d-45da-b52c-5b80e0b3d728,PROD-0246,37359.02,2025-05-14,wallet,success,,37359.02,2025-05-14,0,,,0개,,
0c9beb19-221c-49ad-a738-7d01d8b3dfde,c5e75ff1-fc71-41d0-b20e-e0dd858bda42,PROD-0059,44106.14,2024-05-12,cash,failed,3.0,44106.14,2024-05-12,3,,,,,
f30d8116-14d3-4962-b0e9-fab213038d21,a9b84a07-7e82-4edc-a188-7a4798b9e3a4,PROD-0441,5594.87,2025-08-27,card,failed,,5594.87,2025-08-27,-3,,,음수,,
8634df1e-8395-4895-af65-a9fff24981bd,e4b8f75a-89cb-4c4d-b9e7-23a3a6a58336,PROD-0221,38260.74,2025-03-03,upi,success,2.0,38260.74,2025-03-03,2,,,,,
32ac194f-6d06-4186-ae53-174940b0d4a5,396196b3-80ca-4fa0-8b04-2b5b124f7836,PROD-0107,8508.41,2024-10-14,upi,success,4.0,8508.41,2024-10-14,4,,,,,
9e06373c-38e7-4ff2-81b6-da1554abac41,123d1056-2575-4fd3-ae65-09714b9f8a74,PROD-0205,4069.46,2024-04-23,wallet,success,2.0,4069.46,2024-04-23,2.0,,,,,
4c355393-a81e-4f91-8d90-83c5a1386c87,fa0f941b-d94d-4c60-89dd-22e21ea14aea,PROD-0034,48473.94,2024-07-24,upi,success,2.0,48473.94,2024-07-24,2,,,,,
22f52c88-3a8e-4e5a-9960-ef3e75ecc33c,15e34bdc-0a43-4e91-bf4f-e9f8d58386ed,PROD-0056,45157.29,2025-11-17,upi,success,1.0,45157.29,2025-11-17,1,,,,,
45373246-0cc6-4520-97c8-b70fe6bee262,1bf965c5-2b5d-476f-9b63-e61356e17eff,PROD-0008,29017.32,2024-02-11,card,success,1.0,29017.32,2024-02-11,1,,,,,
e7996b71-7479-4d86-9b8d-20c438278843,673f28b8-8950-4935-a262-8a7f71b184c3,PROD-0451,34881.44,2024-08-02,cash,success,2.0,34881.44,2024-08-02,2.0,,,,,
2ff31e50-f9c9-4b65-8687-cea3c1324b88,310260cd-a03e-4b8e-8bbd-562749dc4050,PROD-0018,794.74,2025-07-18,upi,success,1.0,794.74,2025-07-18,1,,,,,
