event_id,customer_id,is_logged_in,event_type,page_url,page_type,product_id,event_time,session_id,device_id,ingest_run_id,timestamp_raw,page_url_raw,time_flag,device_flag
07c873d7-c03d-4644-b4cf-b4d22803ba60,14d60ab3-cdfa-4924-b9ae-e33aa5b1166a,True,page_view,https://shop.example.com/product/PROD-0017,product_detail,PROD-0017,,dc536a21-83da-48a9-80d0-2423e3c955cb,313757a4-0b7e-480f-bdd5-f249c4ea4218,920fe448-95d0-4ccb-b77b-2c7cfa389054,,https://shop.example.com/product/PROD-0017,원본결측,
11cdfc56-7711-48b8-8f70-2710e1de727e,,False,page_view,https://shop.example.com/product/PROD-0494,product_detail,PROD-0494,,36f5ba20-7b09-4d6d-a430-78d44a90ba0c,a78ade37-01f8-470d-8442-6d6acfa45251,920fe448-95d0-4ccb-b77b-2c7cfa389054,,https://shop.example.com/product/PROD-0494,원본결측,
319c72e9-ac25-4ccc-a8e0-dbd581b8c8bb,,False,page_view,https://shop.example.com/product/PROD-0176,product_detail,PROD-0176,,442ac1ec-2c5a-42f6-812b-17a99cd6f07e,38001f19-e75e-4a71-8354-cff2a6a2798c,920fe448-95d0-4ccb-b77b-2c7cfa389054,2027-05-25T16:04:31.289113+00:00,https://shop.example.com/product/PROD-0176,범위이탈,
287c13df-5991-4e69-b32f-86c740335489,a46120d6-0d50-4257-8096-0797322ad65e,True,page_view,https://shop.example.com/product/PROD-0363,product_detail,PROD-0363,,b9bdb7e8-7819-47a0-bc69-5fd0a3930184,e00a9cc3-1df9-4487-81f9-72ac4685e160,920fe448-95d0-4ccb-b77b-2c7cfa389054,,https://shop.example.com/product/PROD-0363,원본결측,
ef7234bf-b6e5-4167-a4fd-f966b5291f38,ea37b5ac-421f-4adb-990e-62c771da273f,True,page_view,https://shop.example.com/product/PROD-0086,product_detail,PROD-0086,,94b10f0c-36be-4d59-8ea5-83ecbd491702,e01824ba-2c45-44f0-a655-f52f79b943e1,920fe448-95d0-4ccb-b77b-2c7cfa389054,2025-12-21T16:04:55.208107+00:00,https://shop.example.com/product/PROD-0086,범위이탈,
a1131b21-c323-4904-8e56-2363c1325258,d49cbca0-a9a2-409e-8728-90fd4babb23c,True,page_view,https://shop.example.com/product/PROD-0043,product_detail,PROD-0043,,9bf8727c-ebdf-48cd-8cd2-866cadd3203e,708517f2-e0b0-4bfb-b31f-e58afa62cb9c,920fe448-95d0-4ccb-b77b-2c7cfa389054,2026-11-26T16:04:53.475948+00:00,https://shop.example.com/product/PROD-0043,범위이탈,
9b04e8b1-5b36-4bfc-8a6c-54fd7240b769,23d09c8c-beec-4f7c-bab4-04560e80d7d8,True,login,https://shop.example.com/cart,cart,,,1861424a-515c-4fdc-91e1-fbc4c327f2a5,863e6cea-843b-4358-bfe2-60d0933f9658,920fe448-95d0-4ccb-b77b-2c7cfa389054,,https://shop.example.com/cart,원본결측,
3214caf5-cd08-4274-a065-b5c0f3c746f6,f946bc07-a604-4a0c-8410-117c2acc5428,True,page_view,https://shop.example.com/product/PROD-0477,product_detail,PROD-0477,,2bdbcb22-7e76-44a5-b6a5-8d0072e0b78c,1b52dc64-a0ff-4ded-b6be-287388bacfb8,920fe448-95d0-4ccb-b77b-2c7cfa389054,,https://shop.example.com/product/PROD-0477,원본결측,
abdaf92e-afc4-48ca-bfc4-bb95c9a963c9,,False,search,https://shop.example.com/search?q=shoes,search,,,45d69315-7c1d-416a-8a21-1e350534682f,23cd3a9d-3496-41b3-8098-c2664a8f3097,920fe448-95d0-4ccb-b77b-2c7cfa389054,,https://shop.example.com/search?q=shoes,원본결측,
13e151ba-966b-476e-8bbb-43152c4fe546,c1d9d5a5-6719-4ce0-978f-c1f55c5ac7c7,True,page_view,https://shop.example.com/product/PROD-0243,product_detail,PROD-0243,,72d720f6-5627-4585-9f27-d3bea9c6ec40,8b18f44a-ea78-4283-9bcd-0a3e4093d595,920fe448-95d0-4ccb-b77b-2c7cfa389054,2026-08-28T16:04:41.618918+00:00,https://shop.example.com/product/PROD-0243,범위이탈,
