customer_id,device_id
7734db40-af8e-4dbb-8c72-7a838b292637,8f296951-b963-491e-84cc-4b2778579bd7
42179092-6b2c-4344-be6e-22eb7ed63843,8176b999-7745-49f1-a807-b1463f3e9caf
a0ca7307-a829-4d60-8e97-ba3de304a6ae,19662c0e-5b4a-4e49-bb03-ec3dd0f15eef
b45c7cdc-133b-49b7-8a2d-cba3f78a352b,1cf54380-cba5-4f3b-8879-8b33942ac8fb
b0f29d7e-ac8b-4697-977c-9fa1179fd465,e8d4ac16-40bf-49df-94cc-260c5c6e1e94
ec33a145-5861-40b2-9803-d17220a15454,bf2950ad-953c-449e-b50e-c8047eaa0b4a
11422366-370e-44f8-89b7-cf25b18d79ed,905a872c-c001-4ac9-9b93-d6e8ce406e72
5a92083c-5fe4-4759-82a6-0da7c038332d,242d95f1-898a-4357-ac1e-40d91f64b8cb
c396221a-d739-4878-9445-89402fb68fe2,b0e7a1a6-9e55-4ff8-adec-4304d3356588
55a6d4d6-306b-40a0-9556-12d63c75a388,31cb1960-f654-4f6c-99ed-f85c07716e9e
1ec1b877-6825-4984-b2fc-ad4a31dfb375,6bc092d6-75d2-411f-be6f-472d2ff4d8e9
0acb0c5e-5f24-4982-8471-186240b122b4,2040f5ed-4508-456a-bb8a-41aa936243ed
e534fb90-60a5-483e-9555-9b2f0d5af20e,aac3f2d7-caf0-49da-861c-08d1f77db33c
b24e1ba2-6ef7-45e7-be2d-0aa1faafcffc,fe34be31-c6c8-4fe4-acf3-a5b9e7506d2d
b82e70e3-111f-43c4-bfd9-e9ccad2b7bfa,e2b794e1-d42d-4bd2-841a-e5dff13d7f23
7c99fc2e-fd5e-45d5-b1f0-1b8a341495c2,9bd0be1a-439f-47e6-ad13-735923722b49
0baea962-283e-4b05-a5ec-e267739bfc4f,fb60e985-0d34-4bbd-ad9a-d546192ec54f
c4ae80f0-f7e9-4792-97d0-28b6c1ae3a2e,a615a44f-e37e-4935-8237-e739b30ad2df
3bd21372-7fb1-4859-a34f-a7c38d775931,638f41e3-aee6-4334-a7db-4822bc60a48f
cb571c10-8c5b-4345-afc3-e4b30ef9e3b9,5217fbb8-d2c0-4c21-925f-274faa5fe418
40e55795-2c83-41f6-9c5b-c8e7b5061416,4d893a59-da7d-4132-8aa0-e5f9182e0678
ff045ade-da5c-4dc3-b9ec-2694c8b5be7d,c36d7671-452d-44a3-9ef0-0ef3bab69969
77742b87-68bd-4d96-93a1-95f67a97bb1e,4b1e96e5-f5f5-4c9a-b315-3ae6d24e8f62
94fda87e-a247-4060-8437-afd90e447eb5,5ce1a160-66f8-49c4-ae90-935c21d110cf
d67c5f07-299f-4e81-893d-88328e928e0c,59fcf68d-9ca0-441e-bfc8-dfe1c9e48639
64ed2f25-589f-4bf3-8add-11a6a2a2f850,639be6f3-aee9-4e43-b5bb-54235bdf84d3
f64a7f0d-424f-4b90-ab53-9b151b67d1d4,bdace56d-2399-4a8d-9646-c54eab457c9a
b39cb01e-c75a-44d1-ad11-ddb324798ba1,dd2050bb-18c2-4215-9a2f-3661faa39c62
dc062fe1-eb6d-4e6c-a900-966c90977d46,3ea59eca-679d-4ffa-89a9-e0c244c444a3
cb07ef63-fd3d-4090-93c1-62c0b42b1c6b,db94bb8a-b7d2-490c-8afd-64b25771d655
